Latitude	Longitude	Hash	Lithology	Age	Age Uncert	Unparsed Lithology
-3.90954	-59.16182	-3.90954;-59.16182	sed, 	2.58	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
-12.4561	-64.33279	-12.4561;-64.33279	sed, 	2.58	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
-1.92036	-55.52555	-1.92036;-55.52555	sed, 	73.79	71.0	sedimentary rocks | mesozoic-cenozoic sedimentary rocks | 
-4.28277	-55.97399	-4.28277;-55.97399	sed, 	305.40099999999995	53.0	sedimentary rocks | paleozoic sedimentary rocks | 
66.00384	22.848	66.00384;22.848	plut, ign, 	2050.0	450.0	intrusive igneous rocks | paleoproterozoic intrusive rocks | 
43.3032	7.8584	43.3032;7.8584		NaN	NaN	na | na | na
46.3127	6.9332	46.3127;6.9332	sed, 	173.15	28.0	sedimentary rocks | mesozoic sedimentary rocks | 
46.2045	6.1351	46.2045;6.1351	sed, 	66.0	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
46.1443	5.9644	46.1443;5.9644	sed, 	66.0	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
45.6396	5.6429	45.6396;5.6429	sed, 	173.15	28.0	sedimentary rocks | mesozoic sedimentary rocks | 
45.7869	4.8604	45.7869;4.8604	sed, 	12.805	10.0	sedimentary rocks | cenozoic sedimentary rocks | 
45.1841	4.8121	45.1841;4.8121	sed, 	12.805	10.0	sedimentary rocks | cenozoic sedimentary rocks | 
44.854	4.8397	44.854;4.8397	sed, 	12.805	10.0	sedimentary rocks | cenozoic sedimentary rocks | 
43.676	4.6175	43.676;4.6175	sed, 	44.515	21.0	sedimentary rocks | cenozoic sedimentary rocks | 
46.9035	5.085	46.9035;5.085	sed, 	12.805	10.0	sedimentary rocks | cenozoic sedimentary rocks | 
47.0738	5.1657	47.0738;5.1657	sed, 	12.805	10.0	sedimentary rocks | cenozoic sedimentary rocks | 
46.7111	4.9318	46.7111;4.9318	sed, 	12.805	10.0	sedimentary rocks | cenozoic sedimentary rocks | 
45.7482	4.8324	45.7482;4.8324	sed, 	12.805	10.0	sedimentary rocks | cenozoic sedimentary rocks | 
46.2037	7.0163	46.2037;7.0163	sed, 	173.15	28.0	sedimentary rocks | mesozoic sedimentary rocks | 
46.1505	6.2707	46.1505;6.2707	sed, 	66.0	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
44.9981	4.8746	44.9981;4.8746	sed, 	12.805	10.0	sedimentary rocks | cenozoic sedimentary rocks | 
43.8884	4.9221	43.8884;4.9221	sed, 	44.515	21.0	sedimentary rocks | cenozoic sedimentary rocks | 
46.3093	7.9533	46.3093;7.9533	met, 	1492.7	1007.0	crystalline metamorphic rocks | precambrian-phanerozoic crystalline metamorphic rocks | 
46.1621	7.795	46.1621;7.795	met, 	1492.7	1007.0	crystalline metamorphic rocks | precambrian-phanerozoic crystalline metamorphic rocks | 
46.2095	7.2702	46.2095;7.2702	sed, 	173.15	28.0	sedimentary rocks | mesozoic sedimentary rocks | 
28.96626	-95.37487	28.96626;-95.37487	sed, 	66.0	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
28.77606	-95.99586	28.77606;-95.99586	sed, 	66.0	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
41.38377	-72.38596	41.38377;-72.38596	siliciclast, shale, carb, sed, 	401.35	42.0	mudstone-carbonate-sandstone-conglomerate | paleozoic sedimentary and volcanic rocks | 
37.64751	78.0584	37.64751;78.0584	sed, 	12.805	10.0	sedimentary rocks | cenozoic sedimentary rocks | 
31.20384	-87.95104	31.20384;-87.95104	sed, 	66.0	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
41.49096	-79.46008	41.49096;-79.46008	sed, 	395.351	143.0	sedimentary rocks | paleozoic sedimentary rocks | 
36.6997	-85.57283	36.6997;-85.57283	sed, 	395.351	143.0	sedimentary rocks | paleozoic sedimentary rocks | 
38.0076	-80.30904	38.0076;-80.30904	sed, 	395.351	143.0	sedimentary rocks | paleozoic sedimentary rocks | 
38.47592	-85.4838	38.47592;-85.4838	sed, 	395.351	143.0	sedimentary rocks | paleozoic sedimentary rocks | 
39.15871	-82.85571	39.15871;-82.85571	sed, 	395.351	143.0	sedimentary rocks | paleozoic sedimentary rocks | 
38.04851	-88.03991	38.04851;-88.03991	sed, 	395.351	143.0	sedimentary rocks | paleozoic sedimentary rocks | 
39.11066	-90.60184	39.11066;-90.60184	sed, 	395.351	143.0	sedimentary rocks | paleozoic sedimentary rocks | 
38.99069	-90.67903	38.99069;-90.67903	sed, 	395.351	143.0	sedimentary rocks | paleozoic sedimentary rocks | 
29.28453	-89.35196	29.28453;-89.35196	sed, 	66.0	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
31.13558	0.0	31.13558;0		NaN	NaN	na | na | na
40.20444	-95.48179	40.20444;-95.48179	sed, 	395.351	143.0	sedimentary rocks | paleozoic sedimentary rocks | 
40.92325	-98.22354	40.92325;-98.22354	siliciclast, shale, sed, 	83.25	17.0	siltstone,shale,sandstone | mesozoic sedimentary rocks | 
35.2811	-77.26548	35.2811;-77.26548	sed, 	66.0	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
35.93031	-106.11171	35.93031;-106.11171	sed, 	23.03	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
32.94141	-104.35309	32.94141;-104.35309	carb, sed, 	275.40099999999995	23.0	carbonate | paleozoic sedimentary rocks | 
28.94042	-100.64631	28.94042;-100.64631	shale, carb, sed, 	122.75	22.0	carbonate,shale | mesozoic sedimentary rocks | 
30.13447	-93.70172	30.13447;-93.70172	sed, 	66.0	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
30.21334	78.74796	30.21334;78.74796	sed, 	721.9	278.0	sedimentary rocks | precambrian-phanerozoic sedimentary rocks | 
30.21528	78.56176	30.21528;78.56176	sed, 	721.9	278.0	sedimentary rocks | precambrian-phanerozoic sedimentary rocks | 
30.06395	78.28301	30.06395;78.28301	sed, 	12.805	10.0	sedimentary rocks | cenozoic sedimentary rocks | 
18.32697	-65.75026	18.32697;-65.75026	sed, 	14.1815	9.0	sedimentary rocks | cenozoic sedimentary rocks | 
-30.48192	27.32822	-30.48192;27.32822	sed, 	226.601	25.0	sedimentary rocks | mesozoic sedimentary rocks | 
-30.68062	26.71186	-30.68062;26.71186	sed, 	226.601	25.0	sedimentary rocks | mesozoic sedimentary rocks | 
-30.26322	26.67698	-30.26322;26.67698	sed, 	226.601	25.0	sedimentary rocks | mesozoic sedimentary rocks | 
44.82847	7.36452	44.82847;7.36452	sed, 	742.7	257.0	sedimentary rocks | precambrian-phanerozoic sedimentary rocks | 
44.88621	7.68969	44.88621;7.68969	sed, 	12.805	10.0	sedimentary rocks | cenozoic sedimentary rocks | 
45.18117	7.89057	45.18117;7.89057	sed, 	12.805	10.0	sedimentary rocks | cenozoic sedimentary rocks | 
45.1811	8.27953	45.1811;8.27953	sed, 	12.805	10.0	sedimentary rocks | cenozoic sedimentary rocks | 
45.06485	8.19161	45.06485;8.19161	sed, 	12.805	10.0	sedimentary rocks | cenozoic sedimentary rocks | 
45.13104	9.62803	45.13104;9.62803	sed, 	12.805	10.0	sedimentary rocks | cenozoic sedimentary rocks | 
44.90987	10.5504	44.90987;10.5504	sed, 	12.805	10.0	sedimentary rocks | cenozoic sedimentary rocks | 
45.0455	10.75539	45.0455;10.75539	sed, 	12.805	10.0	sedimentary rocks | cenozoic sedimentary rocks | 
45.05807	11.2026	45.05807;11.2026	sed, 	12.805	10.0	sedimentary rocks | cenozoic sedimentary rocks | 
66.5926	-143.0816	66.5926;-143.0816	sed, 	2.58	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
64.3355	-149.053	64.3355;-149.053	sed, 	2.58	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
64.4722	-141.4722	64.4722;-141.4722	sed, 	448.84999999999997	90.0	sedimentary rocks | paleozoic sedimentary rocks | 
65.5232	-149.4304	65.5232;-149.4304	sed, 	443.8	NaN	sedimentary rocks | precambrian-phanerozoic sedimentary rocks | 
61.5604	-162.525	61.5604;-162.525	sed, 	2.58	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
67.4301	-133.77431	67.4301;-133.77431	sed, 	400.95	18.0	sedimentary rocks | paleozoic sedimentary rocks | 
45.88365	-73.24532	45.88365;-73.24532	sed, 	395.351	143.0	sedimentary rocks | paleozoic sedimentary rocks | 
32.15558	118.83009	32.15558;118.83009	sed, 	12.805	10.0	sedimentary rocks | cenozoic sedimentary rocks | 
36.72925	117.02526	36.72925;117.02526	sed, 	12.805	10.0	sedimentary rocks | cenozoic sedimentary rocks | 
23.03837	112.47595	23.03837;112.47595	sed, 	395.351	143.0	sedimentary rocks | paleozoic sedimentary rocks | 
48.85817	2.33874	48.85817;2.33874	sed, 	44.515	21.0	sedimentary rocks | cenozoic sedimentary rocks | 
7.09493	6.70525	7.09493;6.70525	sed, 	105.5	40.0	sedimentary rocks | mesozoic sedimentary rocks | 
21.03155	105.86465	21.03155;105.86465	sed, volc, ign, 	250.1	49.0	sedimentary and volcanic rocks | paleozoic-mesozoic sedimentary and volcanic rocks | 
17.95884	102.59889	17.95884;102.59889	sed, 	105.5	40.0	sedimentary rocks | mesozoic sedimentary rocks | 
55.57352	-128.39397	55.57352;-128.39397	siliciclast, shale, carb, sed, 	133.65	68.0	limestone,conglomerate,siltstone,sandstone,shale | mesozoic sedimentary rocks | 
55.75315	-128.84628	55.75315;-128.84628	siliciclast, shale, carb, sed, 	133.65	68.0	limestone,conglomerate,siltstone,sandstone,shale | mesozoic sedimentary rocks | 
56.57147	-129.33607	56.57147;-129.33607	siliciclast, shale, carb, sed, 	133.65	68.0	limestone,conglomerate,siltstone,sandstone,shale | mesozoic sedimentary rocks | 
56.64705	-129.6382	56.64705;-129.6382	siliciclast, shale, carb, sed, 	133.65	68.0	limestone,conglomerate,siltstone,sandstone,shale | mesozoic sedimentary rocks | 
54.33594	-126.60777	54.33594;-126.60777	basalt, volc, ign, 	12.805	10.0	mafic volcanic rocks | cenozoic volcanic rocks | 
55.08781	-128.16781	55.08781;-128.16781	siliciclast, shale, carb, sed, 	133.65	68.0	limestone,conglomerate,siltstone,sandstone,shale | mesozoic sedimentary rocks | 
57.59682	-129.98578	57.59682;-129.98578	siliciclast, shale, carb, sed, 	133.65	68.0	limestone,conglomerate,siltstone,sandstone,shale | mesozoic sedimentary rocks | 
57.92488	-129.48093	57.92488;-129.48093	volc, ign, 	226.601	25.0	volcanic rocks | mesozoic volcanic rocks | 
57.93665	-128.99833	57.93665;-128.99833	siliciclast, shale, carb, sed, 	133.65	68.0	limestone,conglomerate,siltstone,sandstone,shale | mesozoic sedimentary rocks | 
