agemax	agemin	age	rocktype	rockname	rockdescrip	rockstratname	rockcomments	refstrings	Latitude	Longitude
NaN	NaN	NaN	na	na	na	na	na	NA | NA | NA | NA	5.7411	-53.97205
NaN	NaN	NaN	na	na	na	na	na	NA | NA | NA | NA	4.47387	-51.64238
NaN	NaN	NaN	na	na	na	na	na	NA | NA | NA | NA	5.83369	-55.94999
NaN	NaN	NaN	na	na	na	na	na	NA | NA | NA | NA	5.9703	-57.01509
NaN	NaN	NaN	na	na	na	na	na	NA | NA | NA | NA	5.83944	-55.93405
NaN	NaN	NaN	na	na	na	na	na	NA | NA | NA | NA	5.92556	-55.15507
66.0	NaN	66.0	sedimentary rocks	cenozoic sedimentary rocks				Chorlton, L.B. | 2007 | Generalized geology of the world: bedrock domains and major faults in GIS format: a small-scale world geology map with an extended geological attribute database | doi: 10.4095/223767	6.29787	-57.52747
NaN	NaN	NaN	na	na	na	na	na	NA | NA | NA | NA	6.01725	-57.08283
NaN	NaN	NaN	na	na	na	na	na	NA | NA | NA | NA	6.97786	-58.39846
0.0117	NaN	0.0117	sandstone-siltstone	cenozoic sedimentary rocks				Chorlton, L.B. | 2007 | Generalized geology of the world: bedrock domains and major faults in GIS format: a small-scale world geology map with an extended geological attribute database | doi: 10.4095/223767	36.04559	35.963
NaN	NaN	NaN	na	na	na	na	na	NA | NA | NA | NA	37.54017	27.16898
145.0	66.0	105.5	mudstone-carbonate-sandstone-conglomerate	mesozoic sedimentary rocks				Chorlton, L.B. | 2007 | Generalized geology of the world: bedrock domains and major faults in GIS format: a small-scale world geology map with an extended geological attribute database | doi: 10.4095/223767	41.88129	32.93647
NaN	NaN	NaN	na	na	na	na	na	NA | NA | NA | NA	38.58894	26.81592
145.0	66.0	105.5	sedimentary and volcanic rocks	mesozoic sedimentary and volcanic rocks				Chorlton, L.B. | 2007 | Generalized geology of the world: bedrock domains and major faults in GIS format: a small-scale world geology map with an extended geological attribute database | doi: 10.4095/223767	41.00994	38.84445
NaN	NaN	NaN	na	na	na	na	na	NA | NA | NA | NA	40.98749	40.3297
66.0	23.03	44.515	sedimentary rocks	cenozoic sedimentary rocks				Chorlton, L.B. | 2007 | Generalized geology of the world: bedrock domains and major faults in GIS format: a small-scale world geology map with an extended geological attribute database | doi: 10.4095/223767	41.88179	35.12004
251.902	66.0	158.951	metasedimentary rocks	mesozoic tectonic rocks			metamorphic protolith: marine sediments	Chorlton, L.B. | 2007 | Generalized geology of the world: bedrock domains and major faults in GIS format: a small-scale world geology map with an extended geological attribute database | doi: 10.4095/223767	37.95878	27.26365
