Country,Location,Station ID,Short-term erosion rate (mm kyr^-1),Basin area (km^2),Latitude,Longitude,Koppen¡VGeiger classification,Aridity Index,Aridity Index category,Reference
US,EAGLE CREEK AT GLENCOE KY,3291500,191.6797872,1131.824756,38.705,-84.823889,Df,0.9522,Humid,USGS
US,PLUM CREEK AT WATERFORD KY,3297500,319.7144057,82.3616184,38.051389,-85.431944,Cf,0.9726,Humid,USGS
US,EEL RIVER NEAR LOGANSPORT IN,3328500,40.03786451,2043.500532,40.781944,-86.263889,Df,0.9135,Humid,USGS
US,BIG RACCOON CREEK NEAR FINCASTLE IN,3340800,419.0738539,360.008332,39.8125446,-86.9538988,Df,0.9644,Humid,USGS
US,TRADEWATER RIVER AT OLNEY KY,3383000,13.90116989,637.137048,37.2239358,-87.7805659,Cf,1.0065,Humid,USGS
US,CLOVER FORK AT HARLAN KY,3400990,130.1687524,574.977336,36.8473107,-83.3251815,Cf,1.0514,Humid,USGS
US,YELLOW CREEK NEAR MIDDLESBORO KY,3402000,256.7149307,156.9532728,36.6681393,-83.6885271,Cf,1.0569,Humid,USGS
US,CUMBERLAND RIVER NEAR PINEVILLE KY,3403000,19.22982052,2095.300292,36.8134197,-83.7660306,Cf,1.0354,Humid,USGS
US,CUMBERLAND RIVER AT BARBOURVILLE KY,3403500,112.20415,2486.38848,36.8623097,-83.8874248,Cf,1.0217,Humid,USGS
US,CANE BRANCH NEAR PARKERS LAKE KY,3407100,327.798261,1.73529196,36.868056,-84.449167,Cf,1.0754,Humid,USGS
US,SMOKY CREEK AT HEMBREE TN,3407876,517.1693483,44.5477936,36.239528,-84.413042,Cf,1.1763,Humid,USGS
US,SOUTH FORK CUMBERLAND RIVER NEAR STEARNS KY,3410500,62.68887367,2470.848552,36.626944,-84.533333,Cf,1.0727,Humid,USGS
US,NOLICHUCKY RIVER AT EMBREEVILLE TN,3465500,165.7965791,2084.94034,36.176389,-82.4575,Cf,0.9473,Humid,USGS
US,POWELL RIVER NEAR ARTHUR TN,3532000,64.5243988,1774.14178,36.542064,-83.630419,Cf,1.0372,Humid,USGS
US,EMORY RIVER AT OAKDALE TN,3540500,42.65822766,1978.750832,35.983056,-84.558056,Cf,1.1147,Humid,USGS
US,SEQUATCHIE RIVER NEAR WHITWELL TN,3571000,57.72699752,994.555392,35.206506,-85.497133,Cf,1.085,Humid,USGS
US,MICHIGAMME RIVER NEAR WITCH LAKE MI,4062400,5.046709582,818.436208,46.246667,-88.0125,Df,0.9464,Humid,USGS
US,SILVER CREEK AT SPAULDING ROAD NEAR GREEN LAKE WI,4073466,4.730928601,116.8084588,43.839722,-88.908333,Df,0.8471,Humid,USGS
US,MENOMONEE RIVER AT WAUWATOSA WI,4087120,16.81452665,318.568524,43.045556,-87.999722,Df,0.9056,Humid,USGS
US,CASS RIVER AT FRANKENMUTH MI,4151500,8.565446235,2178.179908,43.327778,-83.748056,Df,0.7926,Humid,USGS
US,FISH CREEK NEAR ARTIC IN,4177810,8.671169139,253.818824,41.465,-84.814167,Df,0.879,Humid,USGS
US,Eagle Creek above Findlay OH,4188496,55.31985142,132.089388,40.979167,-83.653333,Df,0.8891,Humid,USGS
US,Portage River at Woodville OH,4195500,46.1312543,1108.514864,41.449444,-83.361389,Df,0.8594,Humid,USGS
US,Rocky River near Berea OH,4201500,60.23897285,691.526796,41.4075,-81.882778,Df,0.9351,Humid,USGS
US,Cuyahoga River at Old Portage OH,4206000,20.5197274,1046.355152,41.135556,-81.547222,Df,0.9313,Humid,USGS
US,Tinkers Creek at Bedford OH,4207200,88.23330928,217.2999932,41.384444,-81.5275,Df,1.0093,Humid,USGS
US,Cuyahoga River at Independence OH,4208000,72.27009901,1831.121516,41.3953309,-81.6298478,Df,0.9354,Humid,USGS
US,Chagrin River at Willoughby OH,4209000,174.6398801,637.137048,41.630833,-81.403611,Df,1.0084,Humid,USGS
US,Grand River near Painesville OH,4212100,50.66683272,1774.14178,41.7189339,-81.2278789,Df,1.0308,Humid,USGS
US,SIXMILE CREEK AT BROOKTONDALE NY,4233286,87.10420453,69.929676,42.3813974,-76.3944467,Df,0.9967,Humid,USGS
US,SIXMILE CREEK AT BETHEL GROVE NY,4233300,99.65226966,101.009532,42.4030641,-76.4350023,Df,0.9446,Humid,USGS
US,WHETSTONE RIVER NEAR BIG STONE CITY SD,5291000,6.059248867,1030.815224,45.2916316,-96.487557,Df,0.5914,Dry sub-humid,USGS
US,YELLOW BANK RIVER NEAR ODESSA MN,5293000,6.941841336,1188.804492,45.2269094,-96.3536651,Df,0.6002,Dry sub-humid,USGS
US,WILLOW RIVER @ WILLOW R STATE PARK NR BURKHARDTWI,5341752,10.16692296,756.276496,45.011667,-92.708333,Df,0.8338,Humid,USGS
US,WHITEWATER RIVER NEAR BEAVER MN,5376800,75.68637962,701.886748,44.150833,-92.004722,Df,0.8571,Humid,USGS
US,SOUTH FORK ROOT RIVER NEAR HOUSTON MN,5385500,92.66091937,712.2467,43.738611,-91.563889,Df,0.8472,Humid,USGS
US,Upper Iowa River at Decorah IA,5387500,77.21401668,1323.483868,43.304917,-91.795389,Df,0.8405,Humid,USGS
US,Upper Iowa River near Dorchester IA,5388250,96.23985577,1994.29076,43.421111,-91.508611,Df,0.8489,Humid,USGS
US,Bloody Run Creek near Marquette IA,5389400,27.64019427,88.39629044,43.0408175,-91.2065192,Df,0.8391,Humid,USGS
US,DELL CREEK NEAR LAKE DELTON WI,5403700,3.772831432,116.2904612,43.552222,-89.8675,Df,0.8472,Humid,USGS
US,BREWERY CREEK AT CROSS PLAINS WI,5406470,24.67810962,19.9429076,43.119167,-89.640278,Df,0.8563,Humid,USGS
US,GARFOOT CREEK NEAR CROSS PLAINS WI,5406491,21.53712373,13.96003532,43.110278,-89.679444,Df,0.8506,Humid,USGS
US,BLACK EARTH CREEK AT BLACK EARTH WI,5406500,16.14806868,110.8514864,43.1341747,-89.7322287,Df,0.8476,Humid,USGS
US,KICKAPOO RIVER AT LA FARGE WI,5408000,34.56515047,688.936808,43.574167,-90.643056,Df,0.8437,Humid,USGS
US,Sny Magill Creek near Clayton IA,5411400,36.55254045,71.4836688,42.9485971,-91.1862412,Df,0.8484,Humid,USGS
US,GRANT RIVER AT BURTON WI,5413500,58.154038,696.706772,42.7202856,-90.8191734,Df,0.869,Humid,USGS
US,YAHARA RIVER AT WINDSOR WI,5427718,7.503908015,95.829556,43.2088969,-89.3525064,Df,0.8347,Humid,USGS
US,YAHARA RIVER AT STATE HIGHWAY 113 AT MADISON WI,5427850,4.866260754,200.4650712,43.1508413,-89.4019508,Df,0.8338,Humid,USGS
US,PHEASANT BRANCH AT AIRPORT ROAD NEAR MIDDLETON WI,5427943,14.79813584,25.1228836,43.111111,-89.536111,Df,0.8485,Humid,USGS
US,PHEASANT BRANCH AT MIDDLETON WI,5427948,23.6568639,44.23699504,43.1033413,-89.5116731,Df,0.8448,Humid,USGS
US,WILLOW CREEK AT MADISON WI,5427970,47.24667754,8.1584622,43.074167,-89.4225,Df,0.8422,Humid,USGS
US,RIDGEWAY BRANCH NEAR HOLLANDALE WI,5432695,16.10805278,49.209772,42.9405635,-89.9211176,Df,0.8873,Humid,USGS
US,PLEASANT VALLEY CREEK @ CTH H NR BLANCHARDVILLEWI,5432927,13.54724477,49.9867684,42.8747302,-89.7991731,Df,0.89,Humid,USGS
US,MOUNT VERNON CREEK NEAR MOUNT VERNON WI,5436000,22.70625957,42.4758032,42.920833,-89.620278,Df,0.8654,Humid,USGS
US,SUGAR RIVER NEAR BRODHEAD WI,5436500,9.83911225,1354.563724,42.612306,-89.397972,Df,0.873,Humid,USGS
US,Iowa River near Rowan IA,5449500,5.640680826,1111.104852,42.759972,-93.621639,Df,0.8421,Humid,USGS
US,Ralston Creek at Iowa City IA,5455000,264.3455958,7.79586388,41.6639057,-91.5135014,Df,0.8723,Humid,USGS
US,Fourmile Creek near Lincoln IA,5464130,144.6796531,35.69003464,42.225556,-92.610833,Df,0.8793,Humid,USGS
US,Halfmile Creek near Gladbrook IA,5464133,43.13999849,3.44468404,42.211111,-92.610833,Df,0.8831,Humid,USGS
US,Fourmile Creek near Traer IA,5464137,94.83196151,50.53066588,42.201944,-92.562222,Df,0.8758,Humid,USGS
US,Squaw Creek near Colfax IA,5471040,92.69848336,47.6557792,41.6591556,-93.2707616,Df,0.8595,Humid,USGS
US,South Skunk River at Colfax IA,5471050,107.2088999,2079.760364,41.681389,-93.246389,Df,0.8557,Humid,USGS
US,East Fork Hardin Creek near Churdan IA,5483000,7.683334652,62.159712,42.1075,-94.37,Df,0.785,Humid,USGS
US,Middle Raccoon River near Bayard IA,5483450,164.5165066,971.2455,41.779083,-94.492861,Df,0.8022,Humid,USGS
US,Middle Raccoon River at Panora IA,5483600,10.48437583,1139.59472,41.687222,-94.370833,Df,0.803,Humid,USGS
US,Middle River near Indianola IA,5486490,367.8170189,1267.540127,41.424167,-93.587222,Df,0.8224,Humid,USGS
US,Walnut Creek near Prairie City IA,5487540,40.83324631,17.56011864,41.6008505,-93.295985,Df,0.8669,Humid,USGS
US,Walnut Creek near Vandalia IA,5487550,96.17262718,52.5767564,41.5370353,-93.2589795,Df,0.8848,Humid,USGS
US,White Breast Creek near Dallas IA,5487980,283.74151,862.466004,41.246639,-93.290167,Df,0.9215,Humid,USGS
US,Middle Fabius River near Monticello MO,5498000,262.5489194,1017.865284,40.093556,-91.7355,Df,0.883,Humid,USGS
US,North Fork Salt River near Shelbina MO,5502500,109.7009428,1245.784228,39.741278,-92.041028,Df,0.8531,Humid,USGS
US,Middle Fork Salt River at Paris MO,5506500,99.56217964,922.035728,39.4835239,-92.0136651,Df,0.8611,Humid,USGS
US,IROQUOIS RIVER AT IROQUOIS IL,5525000,18.09456483,1776.731768,40.822778,-87.581389,Df,0.9277,Humid,USGS
US,NORTH MILL CREEK AT HICKORY CORNERS IL,5527900,22.64618773,52.3177576,42.465833,-88.009167,Df,0.966,Humid,USGS
US,HASTINGS CREEK NEAR LINDENHURST IL,5527905,65.76915985,12.14704372,42.448056,-88.024722,Df,0.9618,Humid,USGS
US,NORTH MILL CREEK NEAR MILBURN IL,5527910,29.78641344,73.5556592,42.444167,-88.000556,Df,0.9606,Humid,USGS
US,DES PLAINES RIVER AT RIVERSIDE IL,5532500,18.49638294,1631.69244,41.8216745,-87.8219502,Df,0.9456,Humid,USGS
US,MUSKEGO (BIG MUSKEGO) LAKE OUTLET NR WIND LAKE WI,5544385,2.4723822,87.8005932,42.8525,-88.130556,Df,0.9158,Humid,USGS
US,NIPPERSINK CREEK ABOVE WONDER LAKE IL,5548105,22.29630615,218.853986,42.3852982,-88.3695355,Df,0.9271,Humid,USGS
US,SENACHWINE CREEK AT CHILLICOTHE IL,5559700,209.6817822,218.853986,40.940278,-89.500556,Df,0.856,Humid,USGS
US,BIG CREEK AT ST. DAVID IL,5570350,139.613253,72.519664,40.4975,-90.053333,Df,0.8969,Humid,USGS
US,BIG CREEK NEAR BRYANT IL,5570370,119.5776797,106.7075056,40.4589294,-90.1334529,Df,0.881,Humid,USGS
US,SLUG RUN NEAR BRYANTIL,5570380,24.32062925,18.44071456,40.473333,-90.143611,Df,0.8888,Humid,USGS
US,KICKAPOO CREEK AT 2100E ROAD NEAR BLOOMINGTON IL,5579610,45.39674153,18.9069124,40.467778,-88.863889,Df,0.8781,Humid,USGS
US,KICKAPOO CREEK TRIBUTARY NEAR BLOOMINGTON IL,5579620,136.7831304,9.8419544,40.472778,-88.879722,Df,0.8782,Humid,USGS
US,KICKAPOO CREEK NEAR BLOOMINGTON IL,5579630,86.1437819,38.3318224,40.458333,-88.8775,Df,0.8809,Humid,USGS
US,MCKEE CREEK AT CHAMBERSBURG IL,5585830,127.2424646,883.185908,39.817778,-90.654444,Df,0.8464,Humid,USGS
US,PIASA CREEK NEAR MELVILLE IL,5587480,578.0165283,265.5773695,38.957778,-90.271667,Df,0.8523,Humid,USGS
